player_id,player_name,normalized_player_name,team,position,season_min,season_max,source_files,candidate_count,duplicate_name_flag,notes
00-0032164,A.Armstead,a armstead,JAX,DT,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0032164,A.Armstead,a armstead,SF,DT,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038646,A.Austin,a austin,NE,CB,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0035876,A.Baccellia,a baccellia,ARI,WR,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0035602,A.Bachman,a bachman,LV,WR,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0036551,A.Banks,a banks,GB,G,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036551,A.Banks,a banks,SF,G,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0039793,A.Barner,a barner,SEA,TE,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0037043,A.Barno,a barno,CAR,LB,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0031256,A.Barr,a barr,MIN,OLB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033746,A.Barrett,a barrett,SF,DE,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0034959,A.Beck,a beck,GB,RB,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0034959,A.Beck,a beck,HOU,RB,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0034959,A.Beck,a beck,NYJ,RB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0040726,A.Belton,a belton,GB,OT,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033066,A.Billings,a billings,CHI,DT,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0032107,A.Blackson,a blackson,ARI,DE,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0032107,A.Blackson,a blackson,JAX,DE,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0039840,A.Booker,a booker,CHI,DE,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038130,A.Booth,a booth,DAL,CB,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038130,A.Booth,a booth,MIN,CB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0040200,A.Borregales,a borregales,NE,K,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0039020,A.Bradford,a bradford,SEA,G,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0028946,A.Brewer,a brewer,ARI,LS,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,2,True,Duplicate normalized name; require player_id or team-qualified match.
00-0036171,A.Brewer,a brewer,MIA,C,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,2,True,Duplicate normalized name; require player_id or team-qualified match.
00-0036171,A.Brewer,a brewer,TEN,C,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,2,True,Duplicate normalized name; require player_id or team-qualified match.
00-0040409,A.Brinkman,a brinkman,HOU,LS,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0035676,A.Brown,a brown,PHI,WR,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0035531,A.Bryant,a bryant,SF,DE,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038617,A.Burney,a burney,LV,LB,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033103,A.Burns,a burns,SEA,CB,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033381,A.Butler,a butler,LV,DT,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0034678,A.Cappa,a cappa,CIN,G,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0034678,A.Cappa,a cappa,LV,G,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038402,A.Carlson,a carlson,GB,K,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038402,A.Carlson,a carlson,NYJ,K,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038402,A.Carlson,a carlson,SF,K,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038801,A.Carter,a carter,LV,LB,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,2,True,Duplicate normalized name; require player_id or team-qualified match.
00-0038801,A.Carter,a carter,MIN,LB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,2,True,Duplicate normalized name; require player_id or team-qualified match.
00-0040677,A.Carter,a carter,NYG,LB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,2,True,Duplicate normalized name; require player_id or team-qualified match.
00-0034623,A.Chachere,a chachere,ARI,DB,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036941,A.Cisco,a cisco,JAX,SAF,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036941,A.Cisco,a cisco,NYJ,SAF,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0040045,A.Clark,a clark,DAL,SAF,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033302,A.Colbert,a colbert,CHI,FS,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0035190,A.Cole,a cole,LV,P,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0040721,A.Collins,a collins,SF,DT,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038475,A.Cook,a cook,CAR,SAF,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0031544,A.Cooper,a cooper,BUF,WR,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0031544,A.Cooper,a cooper,CLE,WR,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0034261,A.Corbett,a corbett,CAR,C,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0027973,A.Dalton,a dalton,CAR,QB,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036329,A.Davis,a davis,MIA,SAF,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036329,A.Davis,a davis,NYJ,SAF,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036298,A.Davis-Gaither,a davis gaither,ARI,LB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036298,A.Davis-Gaither,a davis gaither,CIN,LB,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0037302,A.Deculus,a deculus,LAC,OT,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0029714,A.DePaola,a depaola,MIN,LS,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0035233,A.Dillard,a dillard,TEN,OT,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036265,A.Dillon,a dillon,GB,RB,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0036265,A.Dillon,a dillon,PHI,RB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0031388,A.Donald,a donald,LAR,DL,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0035021,A.Dulin,a dulin,IND,WR,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0038116,A.Ebiketie,a ebiketie,ATL,LB,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033699,A.Ekeler,a ekeler,LAC,RB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033699,A.Ekeler,a ekeler,WAS,RB,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0036192,A.Epenesa,a epenesa,BUF,DE,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0032543,A.Erickson,a erickson,LAC,WR,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0032543,A.Erickson,a erickson,NE,WR,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0040745,A.Ersery,a ersery,HOU,OT,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0039373,A.Estime,a estime,DEN,RB,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0039373,A.Estime,a estime,NO,RB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038101,A.Evans,a evans,CAR,CB,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038101,A.Evans,a evans,MIN,CB,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036767,A.Faoliu,a faoliu,SEA,DT,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038865,A.Farmer,a farmer,LAC,LB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038866,A.Finley,a finley,LAC,SAF,2023,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038866,A.Finley,a finley,SEA,SAF,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033455,A.Firkser,a firkser,DET,TE,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033455,A.Firkser,a firkser,KC,TE,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0038649,A.Forsyth,a forsyth,DEN,C,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0039539,A.Gainer,a gainer,LV,LB,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0037190,A.Gardner,a gardner,IND,CB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0037190,A.Gardner,a gardner,NYJ,CB,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038724,A.Gaye,a gaye,TEN,LB,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036328,A.Gibson,a gibson,NE,RB,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0036328,A.Gibson,a gibson,WAS,RB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0040640,A.Gillotte,a gillotte,KC,DE,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036380,A.Gilman,a gilman,BAL,SAF,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036380,A.Gilman,a gilman,LAC,SAF,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0039783,A.Goodlow,a goodlow,ARI,DE,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033064,A.Gotsis,a gotsis,IND,DE,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033064,A.Gotsis,a gotsis,JAX,DE,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0033064,A.Gotsis,a gotsis,TB,DE,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0039816,A.Gould,a gould,IND,WR,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0036114,A.Green,a green,CLE,CB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,3,True,Duplicate normalized name; require player_id or team-qualified match.
00-0038627,A.Green,a green,DET,WR,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,3,True,Duplicate normalized name; require player_id or team-qualified match.
00-0036114,A.Green,a green,MIA,CB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,3,True,Duplicate normalized name; require player_id or team-qualified match.
00-0038788,A.Green,a green,NYG,CB,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,3,True,Duplicate normalized name; require player_id or team-qualified match.
00-0039587,A.Grier,a grier,TB,LB,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0032933,A.Hamilton,a hamilton,ARI,CB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0032933,A.Hamilton,a hamilton,ATL,CB,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0032933,A.Hamilton,a hamilton,WAS,CB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0038934,A.Harrison,a harrison,JAX,OT,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0036333,A.Highsmith,a highsmith,PIT,LB,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0035632,A.Hooker,a hooker,TEN,SAF,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0032392,A.Hooper,a hooper,LV,TE,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0032392,A.Hooper,a hooper,NE,TE,2024,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0035455,A.Huggins,a huggins,ATL,DT,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0040255,A.Huntington,a huntington,CLE,DE,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0037236,A.Hutchinson,a hutchinson,DET,DE,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0040411,A.Huzzie,a huzzie,HOU,CB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0035125,A.Ingold,a ingold,MIA,FB,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0038619,A.Iosivas,a iosivas,CIN,WR,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0039791,A.Isaac,a isaac,BAL,LB,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,1,False,Identity candidate.
00-0035527,A.Isabella,a isabella,BUF,WR,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv|C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\receptions_projection_week_01_candidates.csv,1,False,Identity candidate.
00-0037845,A.J. Arcuri,a j arcuri,LAR,OL,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0035676,A.J. Brown,a j brown,PHI,WR,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0035190,A.J. Cole,a j cole,LV,P,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0036192,A.J. Epenesa,a j epenesa,BUF,DL,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0038866,A.J. Finley,a j finley,LAC,DB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0036114,A.J. Green,a j green,CLE,DB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0036114,A.J. Green,a j green,LAR,DB,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0036114,A.J. Green,a j green,MIA,DB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0040302,A.J. Henning,a j henning,MIA,WR,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0030463,A.J. Klein,a j klein,BUF,LB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0036752,A.J. Parker,a j parker,CAR,DB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0036285,A.J. Terrell,a j terrell,ATL,DB,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0037222,A.J. Thomas,a j thomas,CHI,DB,2023,2023,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0037222,A.J. Thomas,a j thomas,NE,DB,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0039685,A.J. Woods,a j woods,ATL,DB,2025,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0039685,A.J. Woods,a j woods,PHI,DB,2024,2024,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\rosters.csv,1,False,Identity candidate.
00-0036603,A.Jackson,a jackson,LAR,OT,2023,2025,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\weekly.csv,3,True,Duplicate normalized name; require player_id or team-qualified match.
