player_id,player_name,team,opponent,position,spread_line,total_line,team_implied_total,favorite_status,spread_bucket,game_total_bucket,pass_volume_environment,rush_volume_environment,opp_receiving_fit_score,opp_rushing_fit_score,opp_passing_fit_score,defense_fit_reliability,defense_fit_sample_games,recent_form_reliability,game_environment_reliability,context_data_quality,context_notes
,T.McLaurin,WAS,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,Ja.Williams,DET,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Mixon,HOU,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
00-0034855,B.Mayfield,TB,WAS,QB,,,,,,,,,,62.26,62.5,HIGH,37.0,HIGH,MISSING,79,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,D.Bell,CLE,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Jennings,SF,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Jacobs,GB,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,M.Evans,TB,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.Pollard,TEN,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,N.Collins,HOU,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,M.Nabers,NYG,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Gibbs,DET,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Smith-Njigba,SEA,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,R.Dowdle,DAL,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,B.Aiyuk,SF,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Meyers,LV,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Addison,MIN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,S.Diggs,HOU,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Williams,CHI,GB,QB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,W.Robinson,NYG,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,B.Irving,TB,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,A.Gould,IND,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Godwin,TB,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Hubbard,CAR,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,B.Mayfield,TB,WAS,QB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,R.Pearsall,SF,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,D.Brown,WAS,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,D.Swift,CHI,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,K.Allen,CHI,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Conner,ARI,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Cowing,SF,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.McBride,ARI,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,B.Johnson,PIT,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,A.Pierce,IND,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,R.Shaheed,NO,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,A.Thielen,CAR,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Cook,BUF,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,A.Kamara,NO,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,G.Wilson,NYJ,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.Hill,MIA,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Nailor,MIN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,A.Jones,MIN,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.Etienne,JAX,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,D.London,ATL,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Lamb,DAL,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.Martin,TEN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Downs,IND,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
00-0033106,J.Goff,DET,WAS,QB,,,,,,,,,,62.26,62.5,HIGH,37.0,HIGH,MISSING,79,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Palmer,LAC,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,D.Samuel,SF,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,M.Washington,MIA,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Dobbins,LAC,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,R.Rice,KC,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,K.Walker,SEA,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Goff,DET,WAS,QB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,N.Brown,WAS,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,M.Pittman,IND,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,G.Pickens,PIT,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,D.Njoku,CLE,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.Allgeier,ATL,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,M.Harrison,ARI,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Smith,MIA,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,K.Pryor,CIN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.McCaffrey,SF,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Daniels,WAS,PHI,QB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,K.Shakir,BUF,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,R.White,TB,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,M.Valdes-Scantling,NO,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,N.Harris,PIT,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.White,SEA,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Tillman,CLE,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Coker,CAR,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,G.Kittle,SF,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,B.Bowers,LV,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.Bigsby,JAX,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Olave,NO,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Brown,CIN,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,D.Montgomery,DET,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,M.Gesicki,CIN,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Sutton,DEN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,Q.Johnston,LAC,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,B.Hall,NYJ,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,E.Engram,JAX,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Waddle,MIA,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,P.Freiermuth,PIT,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,D.Metcalf,SEA,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
00-0035228,K.Murray,ARI,SF,QB,,,,,,,,,,63.52,25.0,HIGH,37.0,HIGH,MISSING,79,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,X.Worthy,KC,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,D.Achane,MIA,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Burton,CIN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Jones,CIN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,L.Bowden,NO,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,R.Stevenson,NE,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,G.Dortch,ARI,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,A.Perry,NO,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.Sherfield,MIN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,M.Mims,DEN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,B.Robinson,WAS,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,Z.Ertz,WAS,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.Hill,NO,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,D.Eskridge,MIA,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,A.Iosivas,CIN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Mason,SF,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Kupp,LA,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,M.Gordon,BAL,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
00-0039918,C.Williams,CHI,GB,QB,,,,,,,,,,71.7,37.5,HIGH,37.0,HIGH,MISSING,79,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Ridley,TEN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,K.Hunt,KC,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,R.Moore,ARI,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Watson,GB,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,S.LaPorta,DET,,TE,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,K.Boutte,NE,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,L.Jackson,BAL,BUF,QB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.Tracy,NYG,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,P.Washington,JAX,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,T.Atwell,LA,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.McClellan,ATL,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.McMillan,TB,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,N.Chubb,CLE,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,O.Zaccheaus,WAS,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Moore,TEN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,K.Lassiter,CIN,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Reed,GB,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,S.McCormick,LV,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,K.Doss,LAC,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Metchie,HOU,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,C.Kirk,JAX,,WR,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
,J.Williams,DEN,,RB,,,,,,,,,,,,MISSING,,HIGH,MISSING,67,"Context V1 uses pre-target weekly history, schedules.csv game lines where present, and shrinkage-adjusted defense allowed stats."
