player_id,player_name,team,opponent,position,market_family,overall_signal_score,signal_tier,plain_english_summary,why_green,why_yellow_or_review,why_red_or_blocked,data_limitations,recommended_user_action
00-0034855,B.Mayfield,TB,WAS,QB,passing,75.36,STRONG_SIGNAL,STRONG_SIGNAL at 75.4. Main support: recent form: 99.3; projection strength: 96.3. Main caution: usage foundation: 33.3; role and availability context: 35.0.,recent form: 99.3; projection strength: 96.3; data quality: 79.0,,nan,weather not sourced; live role/injury gates not ready; game environment limited,BLOCKED_DATA
,D.Bell,CLE,,WR,receiving,75.35,STRONG_SIGNAL,STRONG_SIGNAL at 75.3. Main support: projection strength: 98.3; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.3; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Jennings,SF,,WR,receiving,75.31,STRONG_SIGNAL,STRONG_SIGNAL at 75.3. Main support: projection strength: 98.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.2; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Jacobs,GB,,RB,"receiving, rushing",75.28,STRONG_SIGNAL,STRONG_SIGNAL at 75.3. Main support: projection strength: 98.1; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.1; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,M.Evans,TB,,WR,receiving,75.21,STRONG_SIGNAL,STRONG_SIGNAL at 75.2. Main support: projection strength: 98.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.0; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,T.Pollard,TEN,,RB,"receiving, rushing",75.2,STRONG_SIGNAL,STRONG_SIGNAL at 75.2. Main support: projection strength: 98.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.0; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,N.Collins,HOU,,WR,receiving,75.17,STRONG_SIGNAL,STRONG_SIGNAL at 75.2. Main support: projection strength: 97.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.9; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,M.Nabers,NYG,,WR,receiving,75.14,STRONG_SIGNAL,STRONG_SIGNAL at 75.1. Main support: projection strength: 97.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.8; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Gibbs,DET,,RB,"receiving, rushing",75.12,STRONG_SIGNAL,STRONG_SIGNAL at 75.1. Main support: projection strength: 97.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.8; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Smith-Njigba,SEA,,WR,receiving,75.08,STRONG_SIGNAL,STRONG_SIGNAL at 75.1. Main support: projection strength: 97.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.7; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,R.Dowdle,DAL,,RB,"receiving, rushing",75.02,STRONG_SIGNAL,STRONG_SIGNAL at 75.0. Main support: projection strength: 97.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.5; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,B.Aiyuk,SF,,WR,receiving,75.02,STRONG_SIGNAL,STRONG_SIGNAL at 75.0. Main support: projection strength: 97.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.5; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Meyers,LV,,WR,receiving,75.01,STRONG_SIGNAL,STRONG_SIGNAL at 75.0. Main support: projection strength: 97.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.5; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Addison,MIN,,WR,receiving,74.95,STRONG_SIGNAL,STRONG_SIGNAL at 75.0. Main support: projection strength: 97.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.4; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,S.Diggs,HOU,,WR,receiving,74.94,STRONG_SIGNAL,STRONG_SIGNAL at 74.9. Main support: projection strength: 97.3; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.3; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,C.Williams,CHI,GB,QB,"rushing, passing",74.92,STRONG_SIGNAL,STRONG_SIGNAL at 74.9. Main support: projection strength: 97.3; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.3; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,W.Robinson,NYG,,WR,receiving,74.87,STRONG_SIGNAL,STRONG_SIGNAL at 74.9. Main support: projection strength: 97.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.2; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,B.Irving,TB,,RB,"receiving, rushing",74.84,STRONG_SIGNAL,STRONG_SIGNAL at 74.8. Main support: projection strength: 97.1; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.1; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,A.Gould,IND,,WR,receiving,74.81,STRONG_SIGNAL,STRONG_SIGNAL at 74.8. Main support: projection strength: 97.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.0; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,C.Godwin,TB,,WR,receiving,74.8,STRONG_SIGNAL,STRONG_SIGNAL at 74.8. Main support: projection strength: 97.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.0; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,C.Hubbard,CAR,,RB,"receiving, rushing",74.79,STRONG_SIGNAL,STRONG_SIGNAL at 74.8. Main support: projection strength: 97.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.0; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,B.Mayfield,TB,WAS,QB,"rushing, passing",74.77,STRONG_SIGNAL,STRONG_SIGNAL at 74.8. Main support: projection strength: 97.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.0; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,R.Pearsall,SF,,WR,receiving,74.74,STRONG_SIGNAL,STRONG_SIGNAL at 74.7. Main support: projection strength: 96.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 96.9; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,D.Brown,WAS,,WR,receiving,74.73,STRONG_SIGNAL,STRONG_SIGNAL at 74.7. Main support: projection strength: 96.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 96.9; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,D.Swift,CHI,,RB,"receiving, rushing",74.66,STRONG_SIGNAL,STRONG_SIGNAL at 74.7. Main support: projection strength: 96.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 96.7; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,K.Allen,CHI,,WR,receiving,74.66,STRONG_SIGNAL,STRONG_SIGNAL at 74.7. Main support: projection strength: 96.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 96.7; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Conner,ARI,,RB,"receiving, rushing",74.63,STRONG_SIGNAL,STRONG_SIGNAL at 74.6. Main support: projection strength: 96.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 96.6; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Cowing,SF,,WR,receiving,74.59,STRONG_SIGNAL,STRONG_SIGNAL at 74.6. Main support: projection strength: 96.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 96.6; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,T.McBride,ARI,,TE,receiving,74.59,STRONG_SIGNAL,STRONG_SIGNAL at 74.6. Main support: projection strength: 96.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 96.6; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,B.Johnson,PIT,,WR,receiving,74.53,STRONG_SIGNAL,STRONG_SIGNAL at 74.5. Main support: projection strength: 96.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 96.4; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,A.Pierce,IND,,WR,receiving,74.52,STRONG_SIGNAL,STRONG_SIGNAL at 74.5. Main support: projection strength: 96.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 96.4; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,R.Shaheed,NO,,WR,receiving,74.38,STRONG_SIGNAL,STRONG_SIGNAL at 74.4. Main support: projection strength: 96.1; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 96.1; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,A.Thielen,CAR,,WR,receiving,74.32,STRONG_SIGNAL,STRONG_SIGNAL at 74.3. Main support: projection strength: 95.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.9; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Cook,BUF,,RB,"receiving, rushing",74.31,STRONG_SIGNAL,STRONG_SIGNAL at 74.3. Main support: projection strength: 95.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.9; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,A.Kamara,NO,,RB,"receiving, rushing",74.31,STRONG_SIGNAL,STRONG_SIGNAL at 74.3. Main support: projection strength: 95.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.9; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,G.Wilson,NYJ,,WR,receiving,74.25,STRONG_SIGNAL,STRONG_SIGNAL at 74.2. Main support: projection strength: 95.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.8; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,T.Hill,MIA,,WR,receiving,74.18,STRONG_SIGNAL,STRONG_SIGNAL at 74.2. Main support: projection strength: 95.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.6; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Nailor,MIN,,WR,receiving,74.16,STRONG_SIGNAL,STRONG_SIGNAL at 74.2. Main support: projection strength: 95.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.6; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,A.Jones,MIN,,RB,"receiving, rushing",74.14,STRONG_SIGNAL,STRONG_SIGNAL at 74.1. Main support: projection strength: 95.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.5; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,T.Etienne,JAX,,RB,"receiving, rushing",74.13,STRONG_SIGNAL,STRONG_SIGNAL at 74.1. Main support: projection strength: 95.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.5; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,D.London,ATL,,WR,receiving,74.12,STRONG_SIGNAL,STRONG_SIGNAL at 74.1. Main support: projection strength: 95.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.5; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,C.Lamb,DAL,,WR,receiving,74.05,STRONG_SIGNAL,STRONG_SIGNAL at 74.0. Main support: projection strength: 95.3; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.3; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,T.Martin,TEN,,WR,receiving,74.02,STRONG_SIGNAL,STRONG_SIGNAL at 74.0. Main support: projection strength: 95.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.2; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Downs,IND,,WR,receiving,73.98,STRONG_SIGNAL,STRONG_SIGNAL at 74.0. Main support: projection strength: 95.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.2; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
00-0033106,J.Goff,DET,WAS,QB,passing,73.96,STRONG_SIGNAL,STRONG_SIGNAL at 74.0. Main support: recent form: 99.6; projection strength: 92.6. Main caution: usage foundation: 33.3; role and availability context: 35.0.,recent form: 99.6; projection strength: 92.6; data quality: 79.0,,nan,weather not sourced; live role/injury gates not ready; game environment limited,BLOCKED_DATA
,J.Palmer,LAC,,WR,receiving,73.95,STRONG_SIGNAL,STRONG_SIGNAL at 74.0. Main support: projection strength: 95.1; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 95.1; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,D.Samuel,SF,,WR,"receiving, rushing",73.88,STRONG_SIGNAL,STRONG_SIGNAL at 73.9. Main support: projection strength: 94.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 94.9; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,M.Washington,MIA,,WR,receiving,73.84,STRONG_SIGNAL,STRONG_SIGNAL at 73.8. Main support: projection strength: 94.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 94.8; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Dobbins,LAC,,RB,"receiving, rushing",73.82,STRONG_SIGNAL,STRONG_SIGNAL at 73.8. Main support: projection strength: 94.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 94.8; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,R.Rice,KC,,WR,receiving,73.78,STRONG_SIGNAL,STRONG_SIGNAL at 73.8. Main support: projection strength: 94.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 94.7; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,K.Walker,SEA,,RB,"receiving, rushing",73.77,STRONG_SIGNAL,STRONG_SIGNAL at 73.8. Main support: projection strength: 94.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 94.7; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Goff,DET,WAS,QB,"rushing, passing",73.73,STRONG_SIGNAL,STRONG_SIGNAL at 73.7. Main support: projection strength: 94.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 94.6; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,N.Brown,WAS,,WR,receiving,73.73,STRONG_SIGNAL,STRONG_SIGNAL at 73.7. Main support: projection strength: 94.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 94.6; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,M.Pittman,IND,,WR,receiving,73.71,STRONG_SIGNAL,STRONG_SIGNAL at 73.7. Main support: projection strength: 94.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 94.5; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,G.Pickens,PIT,,WR,receiving,73.66,STRONG_SIGNAL,STRONG_SIGNAL at 73.7. Main support: projection strength: 94.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 94.4; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,D.Njoku,CLE,,TE,receiving,73.64,STRONG_SIGNAL,STRONG_SIGNAL at 73.6. Main support: projection strength: 94.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 94.4; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
