Player Name,Player ID,Team,Position,Expected Role,Starter Status,Projected Snap Share,Projected Route Share,Target Share Override,Role Confidence,Manual Override,Source,Updated At,Validation Status,Notes
D.Njoku,00-0033885,CLE,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Smith,00-0033858,MIA,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
K.Pryor,00-0037422,CIN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
K.Shakir,00-0037261,BUF,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
D.Samuel,00-0035719,SF,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Tillman,00-0038979,CLE,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
B.Aiyuk,00-0036261,SF,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
N.Brown,00-0033591,WAS,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
B.Bowers,00-0039338,LV,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Olave,00-0037239,NO,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
G.Kittle,00-0033288,SF,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Nailor,00-0037291,MIN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
M.Gesicki,00-0034829,CIN,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
Ja.Williams,00-0037240,DET,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
Q.Johnston,00-0038544,LAC,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
E.Engram,00-0033881,JAX,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
M.Harrison,00-0039849,ARI,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
P.Freiermuth,00-0036894,PIT,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Waddle,00-0036613,MIA,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
X.Worthy,00-0039894,KC,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Sutton,00-0034348,DEN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Palmer,00-0036988,LAC,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Jones,00-0038576,CIN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
L.Bowden,00-0036364,NO,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
G.Dortch,00-0035500,ARI,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Sherfield,00-0034487,MIN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
Z.Ertz,00-0030061,WAS,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Hill,00-0033357,NO,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
A.Iosivas,00-0038619,CIN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Kupp,00-0033908,LA,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
M.Mims,00-0038976,DEN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
R.Moore,00-0036936,ARI,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
S.LaPorta,00-0039065,DET,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Coker,00-0039491,CAR,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
P.Washington,00-0038606,JAX,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
G.Pickens,00-0037247,PIT,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
O.Zaccheaus,00-0035208,WAS,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
K.Lassiter,00-0037420,CIN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
K.Doss,00-0035120,LAC,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Metchie,00-0037614,HOU,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.McMillan,00-0039855,TB,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
B.Tremayne,00-0038840,WAS,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Jackson,00-0035934,MIN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
E.Moore,00-0036980,CLE,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Okonkwo,00-0037809,TEN,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
Mi.Wilson,00-0038559,ARI,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Taylor,00-0033292,SF,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
R.Shaheed,00-0037545,NO,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
A.Bachman,00-0035602,LV,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
R.Cracraft,00-0034054,MIA,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
K.Boutte,00-0038608,NE,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Atwell,00-0036849,LA,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
D.Douglas,00-0038621,NE,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
D.Metcalf,00-0035640,SEA,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
R.Doubs,00-0037816,GB,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
Z.Jones,00-0033891,ARI,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Whittington,00-0039751,LA,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Hockenson,00-0035229,MIN,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Higbee,00-0033110,LA,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Tucker,00-0038563,LV,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
B.Skowronek,00-0036862,PIT,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Proche,00-0036133,CLE,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
X.Legette,00-0039342,CAR,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
D.Eskridge,00-0036620,MIA,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
A.Perry,00-0038612,NO,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
D.Smith,00-0036912,PHI,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Wilson,00-0034418,NO,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
D.Davis,00-0038573,LAC,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
K.Wilkerson,00-0036183,LV,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
W.Snead,00-0030663,SF,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Kirk,00-0034775,JAX,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
H.Renfrow,00-0034983,LV,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Johnson,00-0036040,NO,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
M.Thomas,00-0032765,NO,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
K.Raymond,00-0032464,DET,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Dell,00-0038977,HOU,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
I.Hodgins,00-0036165,NYG,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Lockett,00-0032211,SEA,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Moore,00-0032398,TEN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
N.Fant,00-0035644,SEA,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Ridley,00-0034837,TEN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Reed,00-0039146,GB,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
K.Kirkwood,00-0034317,NO,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Akins,00-0034364,CLE,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Johnson,00-0036427,LA,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
M.Jones,00-0029293,DET,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Cowing,00-0039365,SF,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
B.Means,00-0039386,NO,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
R.Odunze,00-0039919,CHI,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Conklin,00-0034270,NYJ,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
A.Lazard,00-0034521,NYJ,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Austin,00-0037837,PIT,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
N.Westbrook-Ikhine,00-0036182,TEN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
B.Cooks,00-0031236,DAL,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
E.All,00-0039814,CIN,TE,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
C.Samuel,00-0033282,BUF,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
D.Wicks,00-0038393,GB,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
T.Scott,00-0038941,CHI,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
K.Philips,00-0037273,TEN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
J.Agnew,00-0033572,JAX,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
B.Powell,00-0034646,MIN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
R.McCloud,00-0034407,ATL,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
A.Brown,00-0035676,PHI,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
I.Williams,00-0039451,CIN,WR,Unknown,Unknown,,,,0,,manual role gate required,2026-06-25T16:20:16+00:00,NEEDS DATA,Unknown role prevents high-confidence live use. Role confidence below 60 requires review.
