Player Name,Player ID,Team,Opponent,Position,Market,Sportsbook,Line,Over Odds,Under Odds,Implied Over Prob,Model Over Prob,Edge %,Price Grade,Updated At,Validation Status,Notes
D.Bell,00-0037257,CLE,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Jennings,00-0036259,SF,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
M.Evans,00-0031408,TB,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
M.Nabers,00-0039337,NYG,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Smith-Njigba,00-0038543,SEA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Meyers,00-0034960,LV,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
S.Diggs,00-0031588,HOU,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
W.Robinson,00-0038117,NYG,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Godwin,00-0033921,TB,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
D.Brown,00-0036626,WAS,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
K.Allen,00-0030279,CHI,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.McBride,00-0037744,ARI,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
B.Johnson,00-0037382,PIT,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
R.Pearsall,00-0039916,SF,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Addison,00-0038994,MIN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
A.Thielen,00-0030035,CAR,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
G.Wilson,00-0037740,NYJ,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Hill,00-0033040,MIA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
D.London,00-0037238,ATL,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Lamb,00-0036358,DAL,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Downs,00-0038997,IND,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
N.Collins,00-0036554,HOU,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
M.Washington,00-0039880,MIA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
R.Rice,00-0039067,KC,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
M.Pittman,00-0036252,IND,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
D.Njoku,00-0033885,CLE,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Smith,00-0033858,MIA,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
K.Pryor,00-0037422,CIN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
K.Shakir,00-0037261,BUF,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
D.Samuel,00-0035719,SF,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Tillman,00-0038979,CLE,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
B.Aiyuk,00-0036261,SF,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
N.Brown,00-0033591,WAS,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
B.Bowers,00-0039338,LV,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Olave,00-0037239,NO,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
G.Kittle,00-0033288,SF,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Nailor,00-0037291,MIN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
M.Gesicki,00-0034829,CIN,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
Ja.Williams,00-0037240,DET,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
Q.Johnston,00-0038544,LAC,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
E.Engram,00-0033881,JAX,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
M.Harrison,00-0039849,ARI,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
P.Freiermuth,00-0036894,PIT,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Waddle,00-0036613,MIA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
X.Worthy,00-0039894,KC,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Sutton,00-0034348,DEN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Palmer,00-0036988,LAC,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Jones,00-0038576,CIN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
L.Bowden,00-0036364,NO,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
G.Dortch,00-0035500,ARI,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Sherfield,00-0034487,MIN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
Z.Ertz,00-0030061,WAS,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Hill,00-0033357,NO,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
A.Iosivas,00-0038619,CIN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Kupp,00-0033908,LA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
M.Mims,00-0038976,DEN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
R.Moore,00-0036936,ARI,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
S.LaPorta,00-0039065,DET,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Coker,00-0039491,CAR,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
P.Washington,00-0038606,JAX,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
G.Pickens,00-0037247,PIT,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
O.Zaccheaus,00-0035208,WAS,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
K.Lassiter,00-0037420,CIN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
K.Doss,00-0035120,LAC,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Metchie,00-0037614,HOU,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.McMillan,00-0039855,TB,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
B.Tremayne,00-0038840,WAS,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Jackson,00-0035934,MIN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
E.Moore,00-0036980,CLE,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Okonkwo,00-0037809,TEN,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
Mi.Wilson,00-0038559,ARI,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Taylor,00-0033292,SF,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
R.Shaheed,00-0037545,NO,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
A.Bachman,00-0035602,LV,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
R.Cracraft,00-0034054,MIA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
K.Boutte,00-0038608,NE,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Atwell,00-0036849,LA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
D.Douglas,00-0038621,NE,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
D.Metcalf,00-0035640,SEA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
R.Doubs,00-0037816,GB,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
Z.Jones,00-0033891,ARI,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Whittington,00-0039751,LA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Hockenson,00-0035229,MIN,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Higbee,00-0033110,LA,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Tucker,00-0038563,LV,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
B.Skowronek,00-0036862,PIT,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Proche,00-0036133,CLE,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
X.Legette,00-0039342,CAR,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
D.Eskridge,00-0036620,MIA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
A.Perry,00-0038612,NO,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
D.Smith,00-0036912,PHI,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Wilson,00-0034418,NO,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
D.Davis,00-0038573,LAC,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
K.Wilkerson,00-0036183,LV,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
W.Snead,00-0030663,SF,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Kirk,00-0034775,JAX,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
H.Renfrow,00-0034983,LV,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
J.Johnson,00-0036040,NO,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
M.Thomas,00-0032765,NO,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
K.Raymond,00-0032464,DET,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Dell,00-0038977,HOU,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
I.Hodgins,00-0036165,NYG,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
T.Lockett,00-0032211,SEA,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
C.Moore,00-0032398,TEN,,WR,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
N.Fant,00-0035644,SEA,,TE,Receptions,,,,,,,,,2026-07-06T10:56:18+00:00,NEEDS DATA,No validated odds source loaded. No betting edge is produced without market odds. See outputs/odds/current_market_odds_status.csv and current_market_odds_needs_review.csv.
